reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20160517,2016,05,5,White,29,Female,New York,40.84435,-73.81511,Closed without arrest
20160518,2016,05,5,Black,21,Male,New York,40.64204,-73.94961,Open/No arrest
20160518,2016,05,5,Black,17,Male,New York,40.65562,-73.91994,Open/No arrest
20160519,2016,05,5,Black,24,Male,New York,40.68407,-73.75818,Closed by arrest
20160519,2016,05,5,Black,18,Male,New York,40.85964,-73.86323,Closed by arrest
20160519,2016,05,5,Black,51,Female,New York,40.67606,-74.00241,Open/No arrest
20160520,2016,05,5,Black,26,Female,New York,40.63834,-74.16448,Closed by arrest
20160520,2016,05,5,Black,16,Male,New York,40.76106,-73.72804,Closed by arrest
20160525,2016,05,5,Black,33,Male,New York,40.73498,-73.98805,Closed by arrest
20160526,2016,05,5,Hispanic,57,Male,New York,40.60516,-73.75485,Closed by arrest
20160526,2016,05,5,Black,38,Female,New York,40.82936,-73.91905,Closed by arrest
20160527,2016,05,5,Black,55,Male,New York,40.88731,-73.84727,Closed by arrest
20160528,2016,05,5,Black,59,Female,New York,40.68565,-73.98049,Closed by arrest
20160529,2016,05,5,Hispanic,19,Male,New York,40.85284,-73.88417,Closed by arrest
20160529,2016,05,5,Black,50,Male,New York,40.63861,-73.94827,Open/No arrest
20160530,2016,05,5,Black,64,Male,New York,40.85412,-73.88881,Closed by arrest
20160531,2016,05,5,Black,16,Female,New York,40.6378,-73.94238,Closed by arrest
20160531,2016,05,5,Black,46,Male,New York,40.67067,-73.93234,Closed by arrest
20160601,2016,06,6,Black,17,Male,New York,40.69649,-73.94943,Open/No arrest
20160603,2016,06,6,Hispanic,21,Male,New York,40.72227,-73.97634,Closed by arrest
20160603,2016,06,6,Black,1,Female,New York,40.64475,-74.08724,Open/No arrest
20160604,2016,06,6,Hispanic,25,Male,New York,40.70891,-73.9658,Closed by arrest
20160605,2016,06,6,Black,25,Male,New York,40.67021,-73.92394,Open/No arrest
20160605,2016,06,6,Black,26,Male,New York,40.67967,-73.93614,Open/No arrest
20160606,2016,06,6,Black,23,Female,New York,40.69307,-73.99954,Closed by arrest
20160607,2016,06,6,Hispanic,55,Male,New York,40.67085,-73.86887,Closed by arrest
20160607,2016,06,6,Black,44,Male,New York,40.685,-73.93845,Open/No arrest
20160611,2016,06,6,Black,28,Female,New York,40.81681,-73.90726,Open/No arrest
20160611,2016,06,6,Black,31,Male,New York,40.82026,-73.89788,Open/No arrest
20160611,2016,06,6,Black,32,Male,New York,40.84674,-73.90648,Open/No arrest
20160612,2016,06,6,Hispanic,25,Male,New York,40.74544,-73.86435,Closed by arrest
20160612,2016,06,6,Black,22,Male,New York,40.67141,-73.88151,Open/No arrest
20160615,2016,06,6,Hispanic,29,Male,New York,40.6997,-73.98169,Closed by arrest
20160615,2016,06,6,Hispanic,22,Male,New York,40.78601,-73.84574,Open/No arrest
20160615,2016,06,6,Black,32,Female,New York,40.88605,-73.86144,Closed by arrest
20160615,2016,06,6,Black,26,Male,New York,40.66623,-73.92254,Open/No arrest
20160615,2016,06,6,Black,46,Male,New York,40.6801,-73.91256,Open/No arrest
20160617,2016,06,6,Black,17,Male,New York,40.84728,-73.91044,Open/No arrest
20160618,2016,06,6,Black,17,Male,New York,40.8251,-73.89486,Open/No arrest
20160619,2016,06,6,Hispanic,25,Male,New York,40.86066,-73.89501,Closed by arrest
20160619,2016,06,6,Black,55,Male,New York,40.68049,-73.8671,Closed by arrest
